# rollout meta: {"joint_names": ["joint1", "joint2", "joint3", "joint4", "joint5", "joint6", "joint7"], "dt": 0.02, "n": 400, "has_base": true, "source": "phase1_diffusion_selected", "note": "condition=easy; checkpoint=policy_precision.pt; gain=0.87; q_noise=0.002"}
t,q1,q2,q3,q4,q5,q6,q7,ee_x,ee_y,ee_z,tgt_x,tgt_y,tgt_z,bx,by,bz,bqx,bqy,bqz,bqw,drawing
0.460000,-0.10936485,-0.39801133,-0.15793093,1.66756475,-0.97523129,-0.14016023,-3.03019071,0.357988,0.064742,0.099687,0.358317,0.064764,0.100000,-0.019842,0.002507,0.010000,0.00010993,-0.00080453,0.00069530,0.99999943,1
0.480000,-0.12666504,-0.39029109,-0.16582911,1.68625641,-0.97565383,-0.14823647,-3.02958894,0.356167,0.066545,0.099719,0.356569,0.066569,0.100000,-0.020000,-0.000000,0.010000,0.00000057,-0.00075592,0.00075584,0.99999943,1
0.500000,-0.14371717,-0.38131416,-0.17513771,1.70453799,-0.97643173,-0.15638575,-3.02890944,0.354290,0.068287,0.099743,0.354764,0.068317,0.100000,-0.019842,-0.002507,0.010000,-0.00010881,-0.00069540,0.00080447,0.99999943,1
0.520000,-0.16042633,-0.37107643,-0.18579045,1.72233987,-0.97760248,-0.16460429,-3.02808976,0.352355,0.069992,0.099770,0.352905,0.070009,0.100000,-0.019372,-0.004974,0.010000,-0.00021650,-0.00062392,0.00084043,0.99999943,1
0.540000,-0.17651102,-0.35965675,-0.19771197,1.73938107,-0.97909510,-0.17291394,-3.02706218,0.350370,0.071634,0.099806,0.350994,0.071641,0.100000,-0.018596,-0.007362,0.010000,-0.00032078,-0.00054260,0.00086316,0.99999943,1
0.560000,-0.19182608,-0.34719124,-0.21078749,1.75557303,-0.98088753,-0.18130104,-3.02579284,0.348345,0.073224,0.099844,0.349033,0.073212,0.100000,-0.017526,-0.009635,0.010000,-0.00042001,-0.00045273,0.00087229,0.99999943,1
0.580000,-0.20624383,-0.33378574,-0.22487345,1.77070534,-0.98296010,-0.18971717,-3.02425599,0.346291,0.074753,0.099890,0.347023,0.074721,0.100000,-0.016180,-0.011756,0.010000,-0.00051263,-0.00035570,0.00086768,0.99999943,1
0.600000,-0.21960913,-0.31959012,-0.23986559,1.78463423,-0.98531753,-0.19818620,-3.02239347,0.344197,0.076216,0.099939,0.344967,0.076166,0.100000,-0.014579,-0.013691,0.010000,-0.00059717,-0.00025306,0.00084941,0.99999943,1
0.620000,-0.23181446,-0.30473572,-0.25570211,1.79721153,-0.98792672,-0.20669241,-3.02019429,0.342054,0.077604,0.099980,0.342866,0.077546,0.100000,-0.012748,-0.015410,0.010000,-0.00067228,-0.00014642,0.00081777,0.99999943,1
0.640000,-0.24280743,-0.28939322,-0.27218997,1.80831885,-0.99075693,-0.21518975,-3.01765037,0.339873,0.078918,0.100017,0.340723,0.078859,0.100000,-0.010717,-0.016887,0.010000,-0.00073679,-0.00003746,0.00077325,0.99999943,1
0.660000,-0.25242928,-0.27366456,-0.28913465,1.81786835,-0.99370509,-0.22360617,-3.01476359,0.337678,0.080150,0.100079,0.338540,0.080105,0.100000,-0.008516,-0.018097,0.010000,-0.00078966,0.00007211,0.00071654,0.99999943,1
0.680000,-0.26068664,-0.25776827,-0.30650917,1.82581687,-0.99670780,-0.23189361,-3.01152015,0.335455,0.081297,0.100128,0.336319,0.081281,0.100000,-0.006180,-0.019021,0.010000,-0.00083007,0.00018056,0.00064854,0.99999943,1
0.700000,-0.26747632,-0.24193947,-0.32418856,1.83211851,-0.99969310,-0.23998937,-3.00798440,0.333214,0.082345,0.100152,0.334062,0.082386,0.100000,-0.003748,-0.019646,0.010000,-0.00085737,0.00028618,0.00057032,0.99999943,1
0.720000,-0.27279651,-0.22624482,-0.34204474,1.83682477,-1.00256789,-0.24777541,-3.00422215,0.330963,0.083307,0.100173,0.331772,0.083420,0.100000,-0.001256,-0.019961,0.010000,-0.00087113,0.00038729,0.00048311,0.99999943,1
0.740000,-0.27658108,-0.21081270,-0.35995629,1.83995605,-1.00528014,-0.25527534,-3.00028014,0.328699,0.084181,0.100198,0.329450,0.084382,0.100000,0.001256,-0.019961,0.010000,-0.00087113,0.00048230,0.00038827,0.99999943,1
0.760000,-0.27887458,-0.19578892,-0.37786877,1.84153295,-1.00773335,-0.26236793,-2.99622893,0.326421,0.084963,0.100213,0.327099,0.085270,0.100000,0.003748,-0.019646,0.010000,-0.00085737,0.00056971,0.00028731,0.99999943,1
0.780000,-0.27973872,-0.18128395,-0.39578420,1.84166741,-1.00986612,-0.26901367,-2.99210095,0.324110,0.085663,0.100198,0.324721,0.086085,0.100000,0.006180,-0.019021,0.010000,-0.00083007,0.00064813,0.00018180,0.99999943,1
0.800000,-0.27917257,-0.16731998,-0.41355318,1.84045851,-1.01166558,-0.27520630,-2.98801875,0.321762,0.086293,0.100183,0.322319,0.086823,0.100000,0.008516,-0.018097,0.010000,-0.00078966,0.00071633,0.00007341,0.99999943,1
0.820000,-0.27723759,-0.15402858,-0.43107194,1.83798361,-1.01301575,-0.28083295,-2.98400569,0.319395,0.086851,0.100160,0.319895,0.087487,0.100000,0.010717,-0.016887,0.010000,-0.00073679,0.00077323,-0.00003616,0.99999943,1
0.840000,-0.27402490,-0.14146034,-0.44820577,1.83436453,-1.01388586,-0.28586966,-2.98006368,0.317012,0.087351,0.100135,0.317451,0.088073,0.100000,0.012748,-0.015410,0.010000,-0.00067228,0.00081791,-0.00014516,0.99999943,1
0.860000,-0.26959351,-0.12965469,-0.46492240,1.82964230,-1.01429605,-0.29036418,-2.97620511,0.314586,0.087786,0.100106,0.314990,0.088583,0.100000,0.014579,-0.013691,0.010000,-0.00059717,0.00084968,-0.00025190,0.99999943,1
0.880000,-0.26407182,-0.11869419,-0.48109248,1.82395470,-1.01420188,-0.29426682,-2.97249389,0.312132,0.088164,0.100066,0.312515,0.089015,0.100000,0.016180,-0.011756,0.010000,-0.00051263,0.00086803,-0.00035467,0.99999943,1
0.900000,-0.25751305,-0.10855269,-0.49652052,1.81737924,-1.01366472,-0.29761472,-2.96890473,0.309654,0.088487,0.100049,0.310027,0.089369,0.100000,0.017526,-0.009635,0.010000,-0.00042001,0.00087267,-0.00045185,0.99999943,1
0.920000,-0.25005305,-0.09928675,-0.51112622,1.80998182,-1.01264942,-0.30042934,-2.96543670,0.307158,0.088748,0.100043,0.307529,0.089645,0.100000,0.018596,-0.007362,0.010000,-0.00032078,0.00086353,-0.00054192,0.99999943,1
0.940000,-0.24181490,-0.09094995,-0.52475178,1.80188143,-1.01119184,-0.30274463,-2.96209836,0.304661,0.088948,0.100053,0.305023,0.089842,0.100000,0.019372,-0.004974,0.010000,-0.00021650,0.00084075,-0.00062344,0.99999943,1
0.960000,-0.23295747,-0.08355474,-0.53733903,1.79322362,-1.00933433,-0.30458793,-2.95892072,0.302162,0.089091,0.100073,0.302513,0.089961,0.100000,0.019842,-0.002507,0.010000,-0.00010881,0.00080469,-0.00069513,0.99999943,1
0.980000,-0.22362560,-0.07703135,-0.54891217,1.78409183,-1.00706613,-0.30601135,-2.95588517,0.299651,0.089169,0.100097,0.300000,0.090000,0.100000,0.020000,0.000000,0.010000,0.00000057,0.00075592,-0.00075584,0.99999943,1
1.000000,-0.21394104,-0.07142997,-0.55941051,1.77461839,-1.00440502,-0.30705208,-2.95299554,0.297141,0.089174,0.100118,0.297487,0.089961,0.100000,0.019842,0.002507,0.010000,0.00010993,0.00069522,-0.00080462,0.99999943,1
1.020000,-0.20409885,-0.06667021,-0.56878531,1.76489568,-1.00141275,-0.30776322,-2.95025659,0.294637,0.089107,0.100142,0.294977,0.089842,0.100000,0.019372,0.004974,0.010000,0.00021755,0.00062355,-0.00084070,0.99999943,1
1.040000,-0.19419448,-0.06272067,-0.57707858,1.75508451,-0.99809974,-0.30819055,-2.94767356,0.292139,0.088961,0.100164,0.292471,0.089645,0.100000,0.018596,0.007362,0.010000,0.00032172,0.00054205,-0.00086350,0.99999943,1
1.060000,-0.18442354,-0.05949922,-0.58427161,1.74535084,-0.99448663,-0.30835867,-2.94527221,0.289665,0.088745,0.100189,0.289973,0.089369,0.100000,0.017526,0.009635,0.010000,0.00042080,0.00045199,-0.00087267,0.99999943,1
1.080000,-0.17493159,-0.05693981,-0.59049141,1.73580158,-0.99061835,-0.30830568,-2.94301438,0.287200,0.088453,0.100202,0.287485,0.089015,0.100000,0.016180,0.011756,0.010000,0.00051325,0.00035481,-0.00086805,0.99999943,1
1.100000,-0.16587310,-0.05493331,-0.59583104,1.72657585,-0.98651338,-0.30810466,-2.94087911,0.284741,0.088083,0.100201,0.285010,0.088583,0.100000,0.014579,0.013691,0.010000,0.00059759,0.00025205,-0.00084972,0.99999943,1
1.120000,-0.15734780,-0.05338544,-0.60036629,1.71783972,-0.98216254,-0.30778793,-2.93889070,0.282302,0.087640,0.100190,0.282549,0.088073,0.100000,0.012748,0.015410,0.010000,0.00067252,0.00014532,-0.00081797,0.99999943,1
1.140000,-0.14942196,-0.05218966,-0.60417724,1.70973229,-0.97763824,-0.30737489,-2.93703485,0.279882,0.087123,0.100177,0.280105,0.087487,0.100000,0.010717,0.016887,0.010000,0.00073684,0.00003632,-0.00077330,0.99999943,1
1.160000,-0.14215897,-0.05124895,-0.60741699,1.70236862,-0.97298855,-0.30692804,-2.93534732,0.277473,0.086529,0.100159,0.277681,0.086823,0.100000,0.008516,0.018097,0.010000,0.00078956,-0.00007324,-0.00071643,0.99999943,1
1.180000,-0.13561912,-0.05046333,-0.61014509,1.69584799,-0.96825087,-0.30643383,-2.93381572,0.275090,0.085858,0.100145,0.275279,0.086085,0.100000,0.006180,0.019021,0.010000,0.00082984,-0.00018164,-0.00064824,0.99999943,1
1.200000,-0.12989981,-0.04973471,-0.61250818,1.69020772,-0.96343452,-0.30592823,-2.93241286,0.272735,0.085108,0.100128,0.272901,0.085270,0.100000,0.003748,0.019646,0.010000,0.00085704,-0.00028715,-0.00056983,0.99999943,1
1.220000,-0.12499543,-0.04895789,-0.61463022,1.68555379,-0.95863664,-0.30545333,-2.93113351,0.270399,0.084280,0.100114,0.270550,0.084382,0.100000,0.001256,0.019961,0.010000,0.00087076,-0.00038813,-0.00048243,0.99999943,1
1.240000,-0.12094084,-0.04805025,-0.61660075,1.68192410,-0.95391452,-0.30501226,-2.92996240,0.268092,0.083378,0.100106,0.268228,0.083420,0.100000,-0.001256,0.019961,0.010000,0.00087076,-0.00048298,-0.00038743,0.99999943,1
1.260000,-0.11773352,-0.04690303,-0.61856371,1.67931557,-0.94930142,-0.30463907,-2.92888379,0.265812,0.082397,0.100102,0.265938,0.082386,0.100000,-0.003748,0.019646,0.010000,0.00085704,-0.00057020,-0.00028633,0.99999943,1
1.280000,-0.11534047,-0.04543768,-0.62064320,1.67768788,-0.94484490,-0.30433083,-2.92789388,0.263560,0.081331,0.100101,0.263681,0.081281,0.100000,-0.006180,0.019021,0.010000,0.00082984,-0.00064844,-0.00018072,0.99999943,1
1.300000,-0.11378694,-0.04357324,-0.62294716,1.67703629,-0.94059521,-0.30409509,-2.92698741,0.261339,0.080188,0.100099,0.261460,0.080105,0.100000,-0.008516,0.018097,0.010000,0.00078956,-0.00071645,-0.00007227,0.99999943,1
1.320000,-0.11299247,-0.04122832,-0.62558615,1.67728770,-0.93662274,-0.30394116,-2.92611575,0.259145,0.078964,0.100096,0.259277,0.078859,0.100000,-0.010717,0.016887,0.010000,0.00073684,-0.00077317,0.00003730,0.99999943,1
1.340000,-0.11291562,-0.03828494,-0.62867320,1.67838323,-0.93297577,-0.30386248,-2.92526603,0.256976,0.077665,0.100095,0.257134,0.077546,0.100000,-0.012748,0.015410,0.010000,0.00067252,-0.00081771,0.00014626,0.99999943,1
1.360000,-0.11349835,-0.03472022,-0.63226700,1.68021691,-0.92969793,-0.30387217,-2.92441106,0.254838,0.076290,0.100090,0.255033,0.076166,0.100000,-0.014579,0.013691,0.010000,0.00059759,-0.00084938,0.00025291,0.99999943,1
1.380000,-0.11466773,-0.03045346,-0.63643163,1.68269658,-0.92680973,-0.30396092,-2.92351604,0.252740,0.074847,0.100085,0.252977,0.074721,0.100000,-0.016180,0.011756,0.010000,0.00051325,-0.00086767,0.00035556,0.99999943,1
1.400000,-0.11630172,-0.02543755,-0.64124298,1.68565583,-0.92436236,-0.30415115,-2.92255473,0.250673,0.073330,0.100077,0.250967,0.073212,0.100000,-0.017526,0.009635,0.010000,0.00042080,-0.00087229,0.00045259,0.99999943,1
1.420000,-0.11825680,-0.01962870,-0.64671993,1.68896747,-0.92238379,-0.30439791,-2.92150235,0.248648,0.071741,0.100071,0.249006,0.071641,0.100000,-0.018596,0.007362,0.010000,0.00032172,-0.00086318,0.00054247,0.99999943,1
1.440000,-0.12041675,-0.01302772,-0.65289688,1.69246054,-0.92088765,-0.30472124,-2.92034459,0.246664,0.070081,0.100064,0.247095,0.070009,0.100000,-0.019372,0.004974,0.010000,0.00021755,-0.00084048,0.00062381,0.99999943,1
1.460000,-0.12262781,-0.00563308,-0.65976101,1.69598949,-0.91988963,-0.30509454,-2.91902566,0.244733,0.068353,0.100059,0.245236,0.068318,0.100000,-0.019842,0.002507,0.010000,0.00010993,-0.00080453,0.00069530,0.99999943,1
1.480000,-0.12474926,0.00257361,-0.66733348,1.69935906,-0.91937679,-0.30545765,-2.91755271,0.242853,0.066556,0.100056,0.243432,0.066569,0.100000,-0.020000,-0.000000,0.010000,0.00000057,-0.00075592,0.00075584,0.99999943,1
