# rollout meta: {"joint_names": ["joint1", "joint2", "joint3", "joint4", "joint5", "joint6", "joint7"], "dt": 0.02, "n": 1550, "has_base": true, "source": "task_ik_6d", "note": "draw/turn phases, base 1s jitter + smooth facing turns"}
t,q1,q2,q3,q4,q5,q6,q7,ee_x,ee_y,ee_z,tgt_x,tgt_y,tgt_z,bx,by,bz,bqx,bqy,bqz,bqw,drawing
0.400000,-0.00816201,-0.14496595,-0.29835428,1.57868419,-1.12922239,0.00718064,-3.15000000,0.299947,0.052542,0.128862,0.300000,0.052578,0.128905,-0.016180,0.011756,0.000000,0.00051325,-0.00086767,0.00035556,0.99999943,1
0.420000,-0.01234726,-0.15003586,-0.28469323,1.58346651,-1.13784229,0.00538906,-3.15000000,0.299956,0.051794,0.130175,0.300000,0.051835,0.130217,-0.017526,0.009635,0.000000,0.00042080,-0.00087229,0.00045259,0.99999943,1
0.440000,-0.01689740,-0.15402261,-0.27232824,1.58862875,-1.14623237,0.00346766,-3.15000000,0.299965,0.051014,0.131468,0.300000,0.051060,0.131510,-0.018596,0.007362,0.000000,0.00032172,-0.00086318,0.00054247,0.99999943,1
0.460000,-0.02169708,-0.15685209,-0.26136734,1.59404002,-1.15435961,0.00147527,-3.15000000,0.299974,0.050204,0.132742,0.300000,0.050252,0.132784,-0.019372,0.004974,0.000000,0.00021755,-0.00084047,0.00062381,0.99999943,1
0.480000,-0.02662689,-0.15846889,-0.25189623,1.59956712,-1.16219396,-0.00053300,-3.15000000,0.299984,0.049362,0.133995,0.300000,0.049412,0.134036,-0.019842,0.002507,0.000000,0.00010993,-0.00080453,0.00069530,0.99999943,1
0.500000,-0.03156525,-0.15883744,-0.24397635,1.60507652,-1.16970927,-0.00250589,-3.15000000,0.299995,0.048491,0.135226,0.300000,0.048541,0.135267,-0.020000,0.000000,0.000000,0.00000057,-0.00075592,0.00075584,0.99999943,1
0.520000,-0.03639047,-0.15794277,-0.23764317,1.61043616,-1.17688421,-0.00439623,-3.15000000,0.300005,0.047590,0.136435,0.300000,0.047639,0.136476,-0.019842,-0.002507,0.000000,-0.00010881,-0.00069540,0.00080447,0.99999943,1
0.540000,-0.04098260,-0.15579096,-0.23290515,1.61551726,-1.18370298,-0.00616112,-3.15000000,0.300015,0.046660,0.137621,0.300000,0.046708,0.137661,-0.019372,-0.004974,0.000000,-0.00021650,-0.00062392,0.00084043,0.99999943,1
0.560000,-0.04522536,-0.15240920,-0.22974328,1.62019604,-1.19015596,-0.00776202,-3.15000000,0.300025,0.045702,0.138784,0.300000,0.045747,0.138823,-0.018596,-0.007362,0.000000,-0.00032078,-0.00054260,0.00086316,0.99999943,1
0.580000,-0.04900789,-0.14784539,-0.22811126,1.62435532,-1.19624007,-0.00916466,-3.15000000,0.300035,0.044716,0.139922,0.300000,0.044756,0.139961,-0.017526,-0.009635,0.000000,-0.00042001,-0.00045273,0.00087229,0.99999943,1
0.600000,-0.05222639,-0.14216736,-0.22793646,1.62788603,-1.20195887,-0.01033901,-3.15000000,0.300044,0.043703,0.141034,0.300000,0.043738,0.141073,-0.016180,-0.011756,0.000000,-0.00051263,-0.00035570,0.00086768,0.99999943,1
0.620000,-0.05478555,-0.13546643,-0.22911573,1.63068845,-1.20732341,-0.01129249,-3.14993935,0.300052,0.042664,0.142121,0.300000,0.042692,0.142159,-0.014579,-0.013691,0.000000,-0.00059717,-0.00025307,0.00084941,0.99999943,1
0.640000,-0.05659976,-0.12787520,-0.23149502,1.63267328,-1.21235500,-0.01220565,-3.14949845,0.300060,0.041598,0.143182,0.300000,0.041619,0.143219,-0.012748,-0.015410,0.000000,-0.00067228,-0.00014642,0.00081777,0.99999943,1
0.660000,-0.05759454,-0.11952112,-0.23492546,1.63376331,-1.21707580,-0.01311899,-3.14876578,0.300066,0.040507,0.144215,0.300000,0.040520,0.144251,-0.010717,-0.016887,0.000000,-0.00073679,-0.00003746,0.00077325,0.99999943,1
0.680000,-0.05770750,-0.11053461,-0.23925349,1.63389423,-1.22151075,-0.01400457,-3.14776242,0.300072,0.039391,0.145220,0.300000,0.039395,0.145255,-0.008516,-0.018097,0.000000,-0.00078966,0.00007211,0.00071654,0.99999943,1
0.700000,-0.05688894,-0.10105635,-0.24431261,1.63301530,-1.22568863,-0.01483269,-3.14651052,0.300076,0.038251,0.146197,0.300000,0.038245,0.146231,-0.006180,-0.019021,0.000000,-0.00083007,0.00018056,0.00064854,0.99999943,1
0.720000,-0.05510251,-0.09123519,-0.24992618,1.63109000,-1.22964137,-0.01557461,-3.14503493,0.300080,0.037088,0.147144,0.300000,0.037072,0.147177,-0.003748,-0.019646,0.000000,-0.00085737,0.00028618,0.00057032,0.99999943,1
0.740000,-0.05232563,-0.08122585,-0.25591066,1.62809656,-1.23340318,-0.01620329,-3.14336274,0.300082,0.035901,0.148062,0.300000,0.035874,0.148094,-0.001256,-0.019961,0.000000,-0.00087113,0.00038729,0.00048311,0.99999943,1
0.760000,-0.04854980,-0.07118638,-0.26207888,1.62402829,-1.23700965,-0.01669401,-3.14152281,0.300082,0.034691,0.148949,0.300000,0.034654,0.148980,0.001256,-0.019961,0.000000,-0.00087113,0.00048230,0.00038827,0.99999943,1
0.780000,-0.04378072,-0.06127572,-0.26824331,1.61889382,-1.24049689,-0.01702495,-3.13954539,0.300082,0.033460,0.149806,0.300000,0.033413,0.149836,0.003748,-0.019646,0.000000,-0.00085737,0.00056971,0.00028731,0.99999943,1
