# rollout meta: {"joint_names": ["joint1", "joint2", "joint3", "joint4", "joint5", "joint6", "joint7"], "dt": 0.02, "n": 400, "has_base": true, "source": "phase1_diffusion_selected", "note": "condition=medium; checkpoint=policy_precision.pt; gain=0.9; q_noise=0.002"}
t,q1,q2,q3,q4,q5,q6,q7,ee_x,ee_y,ee_z,tgt_x,tgt_y,tgt_z,bx,by,bz,bqx,bqy,bqz,bqw,drawing
0.400000,-0.05301763,-0.38815245,-0.12206842,1.61809647,-1.00199175,-0.09087091,-3.05014491,0.363021,0.060299,0.100259,0.363212,0.059033,0.100000,-0.017526,0.009635,-0.000361,0.00042080,-0.00087229,0.00045259,0.99999943,1
0.420000,-0.06776701,-0.38088804,-0.12009315,1.63523757,-1.00686598,-0.09744736,-3.05008340,0.361344,0.062208,0.100240,0.361641,0.060994,0.100000,-0.018596,0.007362,-0.002423,0.00032172,-0.00086318,0.00054247,0.99999943,1
0.440000,-0.08257666,-0.37274945,-0.11998761,1.65225482,-1.01137590,-0.10448224,-3.04971099,0.359604,0.064050,0.100228,0.360009,0.062905,0.100000,-0.019372,0.004974,-0.004289,0.00021755,-0.00084047,0.00062381,0.99999943,1
0.460000,-0.09732300,-0.36381090,-0.12181561,1.66905940,-1.01555192,-0.11205973,-3.04889178,0.357798,0.065823,0.100217,0.358317,0.064764,0.100000,-0.019842,0.002507,-0.005931,0.00010993,-0.00080453,0.00069530,0.99999943,1
0.480000,-0.11196172,-0.35413623,-0.12560676,1.68546164,-1.01939797,-0.12034320,-3.04749513,0.355926,0.067521,0.100200,0.356569,0.066569,0.100000,-0.020000,-0.000000,-0.007321,0.00000057,-0.00075592,0.00075584,0.99999943,1
0.500000,-0.12645388,-0.34390387,-0.13133094,1.70145357,-1.02294624,-0.12933044,-3.04544806,0.354002,0.069157,0.100154,0.354764,0.068317,0.100000,-0.019842,-0.002507,-0.008437,-0.00010881,-0.00069540,0.00080447,0.99999943,1
0.520000,-0.14075236,-0.33310878,-0.13898744,1.71684432,-1.02626765,-0.13909476,-3.04268384,0.352009,0.070727,0.100093,0.352905,0.070009,0.100000,-0.019372,-0.004974,-0.009263,-0.00021650,-0.00062392,0.00084043,0.99999943,1
0.540000,-0.15475354,-0.32189682,-0.14849342,1.73157978,-1.02933872,-0.14964679,-3.03916717,0.349966,0.072229,0.100013,0.350994,0.071641,0.100000,-0.018596,-0.007362,-0.009785,-0.00032078,-0.00054260,0.00086316,0.99999943,1
0.560000,-0.16845155,-0.31027752,-0.15970623,1.74558330,-1.03221989,-0.16092710,-3.03491902,0.347879,0.073681,0.099948,0.349033,0.073212,0.100000,-0.017526,-0.009635,-0.009996,-0.00042001,-0.00045273,0.00087229,0.99999943,1
0.580000,-0.18179004,-0.29843545,-0.17256390,1.75874555,-1.03491354,-0.17283121,-3.03000665,0.345755,0.075076,0.099871,0.347023,0.074721,0.100000,-0.016180,-0.011756,-0.009890,-0.00051263,-0.00035570,0.00086768,0.99999943,1
0.600000,-0.19465573,-0.28651589,-0.18688671,1.77095890,-1.03747058,-0.18525842,-3.02438903,0.343603,0.076406,0.099793,0.344967,0.076166,0.100000,-0.014579,-0.013691,-0.009472,-0.00059717,-0.00025306,0.00084941,0.99999943,1
0.620000,-0.20704170,-0.27463090,-0.20251732,1.78211904,-1.03992498,-0.19801952,-3.01818109,0.341429,0.077677,0.099718,0.342866,0.077546,0.100000,-0.012748,-0.015410,-0.008746,-0.00067228,-0.00014642,0.00081777,0.99999943,1
0.640000,-0.21893668,-0.26290455,-0.21927041,1.79213870,-1.04226077,-0.21101591,-3.01143861,0.339246,0.078892,0.099651,0.340723,0.078859,0.100000,-0.010717,-0.016887,-0.007724,-0.00073679,-0.00003746,0.00077325,0.99999943,1
0.660000,-0.23029234,-0.25146496,-0.23701432,1.80091870,-1.04452229,-0.22413780,-3.00421548,0.337043,0.080046,0.099587,0.338540,0.080105,0.100000,-0.008516,-0.018097,-0.006423,-0.00078966,0.00007211,0.00071654,0.99999943,1
0.680000,-0.24107665,-0.24043356,-0.25556555,1.80834830,-1.04671085,-0.23725849,-2.99656892,0.334820,0.081134,0.099529,0.336319,0.081281,0.100000,-0.006180,-0.019021,-0.004863,-0.00083007,0.00018056,0.00064854,0.99999943,1
0.700000,-0.25118849,-0.22992450,-0.27475497,1.81429338,-1.04869699,-0.25031975,-2.98844838,0.332591,0.082136,0.099482,0.334062,0.082386,0.100000,-0.003748,-0.019646,-0.003068,-0.00085737,0.00028618,0.00057032,0.99999943,1
0.720000,-0.26056117,-0.22008584,-0.29444245,1.81878006,-1.05036366,-0.26325071,-2.97981858,0.330368,0.083053,0.099437,0.331772,0.083420,0.100000,-0.001256,-0.019961,-0.001068,-0.00087113,0.00038729,0.00048311,0.99999943,1
0.740000,-0.26908427,-0.21103717,-0.31453797,1.82182467,-1.05159616,-0.27603099,-2.97072530,0.328147,0.083875,0.099386,0.329450,0.084382,0.100000,0.001256,-0.019961,0.001107,-0.00087113,0.00048230,0.00038827,0.99999943,1
0.760000,-0.27659079,-0.20285386,-0.33491778,1.82348144,-1.05216885,-0.28865722,-2.96109128,0.325947,0.084595,0.099335,0.327099,0.085270,0.100000,0.003748,-0.019646,0.003423,-0.00085737,0.00056971,0.00028731,0.99999943,1
0.780000,-0.28289920,-0.19551560,-0.35547352,1.82387340,-1.05195534,-0.30124363,-2.95084310,0.323760,0.085216,0.099309,0.324721,0.086085,0.100000,0.006180,-0.019021,0.005842,-0.00083007,0.00064813,0.00018180,0.99999943,1
0.800000,-0.28790575,-0.18909979,-0.37611139,1.82307851,-1.05079806,-0.31386620,-2.93995881,0.321587,0.085734,0.099294,0.322319,0.086823,0.100000,0.008516,-0.018097,0.008326,-0.00078966,0.00071633,0.00007341,0.99999943,1
0.820000,-0.29143149,-0.18355915,-0.39674079,1.82122803,-1.04861784,-0.32665280,-2.92839217,0.319410,0.086154,0.099304,0.319895,0.087487,0.100000,0.010717,-0.016887,0.010838,-0.00073679,0.00077323,-0.00003616,0.99999943,1
0.840000,-0.29347250,-0.17891963,-0.41727179,1.81850290,-1.04535031,-0.33968785,-2.91627479,0.317220,0.086495,0.099318,0.317451,0.088073,0.100000,0.012748,-0.015410,0.013335,-0.00067228,0.00081791,-0.00014516,0.99999943,1
0.860000,-0.29400125,-0.17505725,-0.43758360,1.81508934,-1.04102266,-0.35308984,-2.90374398,0.314994,0.086784,0.099345,0.314990,0.088583,0.100000,0.014579,-0.013691,0.015781,-0.00059717,0.00084968,-0.00025190,0.99999943,1
0.880000,-0.29305413,-0.17182279,-0.45764220,1.81111789,-1.03555346,-0.36679426,-2.89104438,0.312719,0.087038,0.099373,0.312515,0.089015,0.100000,0.016180,-0.011756,0.018135,-0.00051263,0.00086803,-0.00035467,0.99999943,1
0.900000,-0.29071209,-0.16893923,-0.47729284,1.80664277,-1.02902770,-0.38076046,-2.87842250,0.310375,0.087277,0.099422,0.310027,0.089369,0.100000,0.017526,-0.009635,0.020361,-0.00042001,0.00087267,-0.00045185,0.99999943,1
0.920000,-0.28705451,-0.16621099,-0.49648613,1.80174530,-1.02157223,-0.39461806,-2.86637092,0.307939,0.087513,0.099483,0.307529,0.089645,0.100000,0.018596,-0.007362,0.022423,-0.00032078,0.00086353,-0.00054192,0.99999943,1
0.940000,-0.28213921,-0.16332765,-0.51513326,1.79644871,-1.01329577,-0.40785247,-2.85527635,0.305406,0.087753,0.099571,0.305023,0.089842,0.100000,0.019372,-0.004974,0.024289,-0.00021650,0.00084075,-0.00062344,0.99999943,1
0.960000,-0.27599382,-0.16017175,-0.53298074,1.79074275,-1.00443864,-0.41991493,-2.84543395,0.302796,0.087990,0.099696,0.302513,0.089961,0.100000,0.019842,-0.002507,0.025931,-0.00010881,0.00080469,-0.00069513,0.99999943,1
0.980000,-0.26857531,-0.15670851,-0.54990047,1.78466833,-0.99519390,-0.43041623,-2.83697104,0.300122,0.088209,0.099845,0.300000,0.090000,0.100000,0.020000,0.000000,0.027321,0.00000057,0.00075592,-0.00075584,0.99999943,1
1.000000,-0.25989214,-0.15296958,-0.56553411,1.77817059,-0.98583466,-0.43904534,-2.82997537,0.297431,0.088385,0.100027,0.297487,0.089961,0.100000,0.019842,0.002507,0.028437,0.00010993,0.00069522,-0.00080462,0.99999943,1
1.020000,-0.25001487,-0.14907996,-0.57957685,1.77127433,-0.97663540,-0.44567403,-2.82444167,0.294769,0.088498,0.100229,0.294977,0.089842,0.100000,0.019372,0.004974,0.029263,0.00021755,0.00062355,-0.00084070,0.99999943,1
1.040000,-0.23906179,-0.14513417,-0.59177274,1.76396894,-0.96787602,-0.45034704,-2.82029748,0.292163,0.088526,0.100442,0.292471,0.089645,0.100000,0.018596,0.007362,0.029785,0.00032172,0.00054205,-0.00086350,0.99999943,1
1.060000,-0.22730786,-0.14108716,-0.60199285,1.75628006,-0.95983118,-0.45307374,-2.81750560,0.289622,0.088459,0.100660,0.289973,0.089369,0.100000,0.017526,0.009635,0.029996,0.00042080,0.00045199,-0.00087267,0.99999943,1
1.080000,-0.21509933,-0.13701174,-0.61028808,1.74835455,-0.95268875,-0.45402709,-2.81596112,0.287130,0.088296,0.100835,0.287485,0.089015,0.100000,0.016180,0.011756,0.029890,0.00051325,0.00035481,-0.00086805,0.99999943,1
1.100000,-0.20276819,-0.13279839,-0.61665380,1.74032295,-0.94668114,-0.45340750,-2.81552100,0.284675,0.088042,0.100971,0.285010,0.088583,0.100000,0.014579,0.013691,0.029472,0.00059759,0.00025205,-0.00084972,0.99999943,1
1.120000,-0.19058472,-0.12837818,-0.62124103,1.73238301,-0.94188720,-0.45133576,-2.81609273,0.282242,0.087702,0.101054,0.282549,0.088073,0.100000,0.012748,0.015410,0.028746,0.00067252,0.00014532,-0.00081797,0.99999943,1
1.140000,-0.17883655,-0.12356210,-0.62417656,1.72475600,-0.93840128,-0.44798672,-2.81755471,0.279817,0.087291,0.101098,0.280105,0.087487,0.100000,0.010717,0.016887,0.027724,0.00073684,0.00003632,-0.00077330,0.99999943,1
1.160000,-0.16765352,-0.11829549,-0.62559086,1.71751297,-0.93616265,-0.44350293,-2.81975770,0.277409,0.086789,0.101108,0.277681,0.086823,0.100000,0.008516,0.018097,0.026423,0.00078956,-0.00007324,-0.00071643,0.99999943,1
1.180000,-0.15717390,-0.11253373,-0.62563133,1.71079600,-0.93509507,-0.43802983,-2.82260275,0.275027,0.086194,0.101091,0.275279,0.086085,0.100000,0.006180,0.019021,0.024863,0.00082984,-0.00018164,-0.00064824,0.99999943,1
1.200000,-0.14749192,-0.10622867,-0.62449527,1.70475399,-0.93516892,-0.43176579,-2.82594490,0.272662,0.085504,0.101056,0.272901,0.085270,0.100000,0.003748,0.019646,0.023068,0.00085704,-0.00028715,-0.00056983,0.99999943,1
1.220000,-0.13860692,-0.09934057,-0.62240791,1.69946837,-0.93620175,-0.42484429,-2.82969427,0.270323,0.084708,0.101012,0.270550,0.084382,0.100000,0.001256,0.019961,0.021068,0.00087076,-0.00038813,-0.00048243,0.99999943,1
1.240000,-0.13062072,-0.09185575,-0.61957663,1.69504702,-0.93806773,-0.41740045,-2.83382893,0.268016,0.083814,0.100963,0.268228,0.083420,0.100000,-0.001256,0.019961,0.018893,0.00087076,-0.00048298,-0.00038743,0.99999943,1
1.260000,-0.12358519,-0.08379577,-0.61628908,1.69156432,-0.94056940,-0.40956405,-2.83822107,0.265740,0.082826,0.100899,0.265938,0.082386,0.100000,-0.003748,0.019646,0.016577,0.00085704,-0.00057020,-0.00028633,0.99999943,1
1.280000,-0.11747751,-0.07512277,-0.61280167,1.68902338,-0.94361681,-0.40149286,-2.84279585,0.263479,0.081742,0.100830,0.263681,0.081281,0.100000,-0.006180,0.019021,0.014158,0.00082984,-0.00064844,-0.00018072,0.99999943,1
1.300000,-0.11231279,-0.06584904,-0.60934657,1.68743670,-0.94705915,-0.39332259,-2.84749365,0.261238,0.080571,0.100758,0.261460,0.080105,0.100000,-0.008516,0.018097,0.011674,0.00078956,-0.00071645,-0.00007227,0.99999943,1
1.320000,-0.10802274,-0.05598492,-0.60614336,1.68678808,-0.95071018,-0.38520381,-2.85223198,0.259026,0.079314,0.100687,0.259277,0.078859,0.100000,-0.010717,0.016887,0.009162,0.00073684,-0.00077317,0.00003730,0.99999943,1
1.340000,-0.10457775,-0.04558464,-0.60342538,1.68702698,-0.95448887,-0.37726152,-2.85690594,0.256834,0.077979,0.100612,0.257134,0.077546,0.100000,-0.012748,0.015410,0.006665,0.00067252,-0.00081771,0.00014626,0.99999943,1
1.360000,-0.10193836,-0.03461377,-0.60137331,1.68806958,-0.95829046,-0.36961281,-2.86144018,0.254666,0.076573,0.100545,0.255033,0.076166,0.100000,-0.014579,0.013691,0.004219,0.00059759,-0.00084938,0.00025291,0.99999943,1
1.380000,-0.10004386,-0.02318878,-0.60020030,1.68980408,-0.96195966,-0.36235487,-2.86574316,0.252529,0.075097,0.100466,0.252977,0.074721,0.100000,-0.016180,0.011756,0.001865,0.00051325,-0.00086767,0.00035556,0.99999943,1
1.400000,-0.09879307,-0.01130312,-0.60005409,1.69216084,-0.96548337,-0.35561079,-2.86974335,0.250416,0.073562,0.100387,0.250967,0.073212,0.100000,-0.017526,0.009635,-0.000361,0.00042080,-0.00087229,0.00045259,0.99999943,1
1.420000,-0.09807298,0.00095720,-0.60107940,1.69497693,-0.96874863,-0.34948349,-2.87332439,0.248337,0.071965,0.100300,0.249006,0.071641,0.100000,-0.018596,0.007362,-0.002423,0.00032172,-0.00086318,0.00054247,0.99999943,1
1.440000,-0.09775684,0.01353630,-0.60337102,1.69805717,-0.97172695,-0.34408084,-2.87638712,0.246292,0.070297,0.100207,0.247095,0.070009,0.100000,-0.019372,0.004974,-0.004289,0.00021755,-0.00084048,0.00062381,0.99999943,1
1.460000,-0.09775328,0.02639926,-0.60698086,1.70128322,-0.97440141,-0.33944526,-2.87885284,0.244289,0.068569,0.100119,0.245236,0.068317,0.100000,-0.019842,0.002507,-0.005931,0.00010993,-0.00080453,0.00069530,0.99999943,1
1.480000,-0.09792192,0.03942006,-0.61197579,1.70446110,-0.97670442,-0.33558378,-2.88064623,0.242339,0.066773,0.100026,0.243431,0.066569,0.100000,-0.020000,-0.000000,-0.007321,0.00000057,-0.00075592,0.00075584,0.99999943,1
1.500000,-0.09818565,0.05250984,-0.61839455,1.70742059,-0.97865540,-0.33249894,-2.88168812,0.240439,0.064912,0.099924,0.241682,0.064764,0.100000,-0.019842,-0.002507,-0.008437,-0.00010881,-0.00069540,0.00080447,0.99999943,1
1.520000,-0.09845042,0.06558751,-0.62625784,1.71003306,-0.98016459,-0.33018222,-2.88200140,0.238604,0.062994,0.099811,0.239991,0.062905,0.100000,-0.019372,-0.004974,-0.009263,-0.00021650,-0.00062392,0.00084043,0.99999943,1
1.540000,-0.09853391,0.07854202,-0.63549376,1.71208394,-0.98124135,-0.32859859,-2.88153791,0.236845,0.061006,0.099699,0.238359,0.060994,0.100000,-0.018596,-0.007362,-0.009785,-0.00032078,-0.00054260,0.00086316,0.99999943,1
1.560000,-0.09835838,0.09132695,-0.64613324,1.71341360,-0.98184687,-0.32763097,-2.88034821,0.235155,0.058952,0.099584,0.236788,0.059033,0.100000,-0.017526,-0.009635,-0.009996,-0.00042001,-0.00045273,0.00087229,0.99999943,1
1.580000,-0.09782054,0.10385072,-0.65801620,1.71389246,-0.98197782,-0.32716832,-2.87848854,0.233556,0.056841,0.099486,0.235279,0.057023,0.100000,-0.016180,-0.011756,-0.009890,-0.00051263,-0.00035571,0.00086768,0.99999943,1
1.600000,-0.09682473,0.11595388,-0.67109334,1.71336138,-0.98161739,-0.32706228,-2.87597752,0.232048,0.054672,0.099394,0.233834,0.054967,0.100000,-0.014579,-0.013691,-0.009472,-0.00059717,-0.00025307,0.00084941,0.99999943,1
1.620000,-0.09528866,0.12746522,-0.68526506,1.71167397,-0.98076367,-0.32718110,-2.87291002,0.230633,0.052450,0.099301,0.232454,0.052866,0.100000,-0.012748,-0.015410,-0.008746,-0.00067228,-0.00014642,0.00081777,0.99999943,1
1.640000,-0.09311917,0.13824604,-0.70032340,1.70871878,-0.97942090,-0.32735741,-2.86937618,0.229327,0.050182,0.099223,0.231141,0.050723,0.100000,-0.010717,-0.016887,-0.007724,-0.00073679,-0.00003746,0.00077325,0.99999943,1
1.660000,-0.09019990,0.14813164,-0.71612924,1.70433116,-0.97758722,-0.32748988,-2.86538601,0.228130,0.047863,0.099154,0.229895,0.048540,0.100000,-0.008516,-0.018097,-0.006423,-0.00078966,0.00007211,0.00071654,0.99999943,1
1.680000,-0.08648959,0.15703529,-0.73256928,1.69840837,-0.97528791,-0.32752109,-2.86094570,0.227018,0.045502,0.099094,0.228719,0.046319,0.100000,-0.006180,-0.019021,-0.004863,-0.00083007,0.00018056,0.00064854,0.99999943,1
1.700000,-0.08190867,0.16477863,-0.74937952,1.69087446,-0.97252274,-0.32740626,-2.85602283,0.226009,0.043105,0.099051,0.227614,0.044062,0.100000,-0.003748,-0.019646,-0.003068,-0.00085737,0.00028618,0.00057032,0.99999943,1
1.720000,-0.07642397,0.17120901,-0.76641101,1.68156755,-0.96928835,-0.32726187,-2.85045910,0.225083,0.040667,0.099011,0.226580,0.041772,0.100000,-0.001256,-0.019961,-0.001068,-0.00087113,0.00038729,0.00048311,0.99999943,1
1.740000,-0.06995485,0.17612663,-0.78344041,1.67053640,-0.96559733,-0.32724014,-2.84411478,0.224238,0.038203,0.098972,0.225618,0.039450,0.100000,0.001256,-0.019961,0.001107,-0.00087113,0.00048230,0.00038827,0.99999943,1
1.760000,-0.06237529,0.17941894,-0.80016756,1.65776312,-0.96153319,-0.32759064,-2.83677530,0.223470,0.035712,0.098954,0.224730,0.037099,0.100000,0.003748,-0.019646,0.003423,-0.00085737,0.00056971,0.00028731,0.99999943,1
1.780000,-0.05346122,0.18093191,-0.81641793,1.64348197,-0.95708734,-0.32857639,-2.82828760,0.222771,0.033215,0.098955,0.223915,0.034721,0.100000,0.006180,-0.019021,0.005842,-0.00083007,0.00064813,0.00018180,0.99999943,1
1.800000,-0.04305091,0.18051578,-0.83189046,1.62787127,-0.95236892,-0.33042189,-2.81854773,0.222144,0.030726,0.098986,0.223176,0.032319,0.100000,0.008516,-0.018097,0.008326,-0.00078966,0.00071633,0.00007341,0.99999943,1
1.820000,-0.03103039,0.17813592,-0.84641033,1.61124849,-0.94742209,-0.33326718,-2.80750418,0.221582,0.028281,0.099043,0.222513,0.029895,0.100000,0.010717,-0.016887,0.010838,-0.00073679,0.00077323,-0.00003616,0.99999943,1
1.840000,-0.01749092,0.17396586,-0.85976779,1.59384716,-0.94236451,-0.33715260,-2.79531574,0.221072,0.025918,0.099132,0.221927,0.027451,0.100000,0.012748,-0.015410,0.013335,-0.00067228,0.00081791,-0.00014516,0.99999943,1
1.860000,-0.00240592,0.16815779,-0.87176454,1.57585871,-0.93725902,-0.34212589,-2.78208494,0.220619,0.023649,0.099253,0.221417,0.024991,0.100000,0.014579,-0.013691,0.015781,-0.00059717,0.00084968,-0.00025190,0.99999943,1
1.880000,0.01406076,0.16104731,-0.88230872,1.55731761,-0.93212181,-0.34814218,-2.76796389,0.220212,0.021472,0.099387,0.220985,0.022515,0.100000,0.016180,-0.011756,0.018135,-0.00051263,0.00086803,-0.00035467,0.99999943,1
1.900000,0.03173139,0.15309203,-0.89124167,1.53823841,-0.92699212,-0.35498244,-2.75339127,0.219865,0.019377,0.099538,0.220631,0.020027,0.100000,0.017526,-0.009635,0.020361,-0.00042001,0.00087267,-0.00045185,0.99999943,1
1.920000,0.05043098,0.14497203,-0.89846522,1.51870036,-0.92198968,-0.36227557,-2.73885632,0.219579,0.017357,0.099722,0.220355,0.017529,0.100000,0.018596,-0.007362,0.022423,-0.00032078,0.00086353,-0.00054192,0.99999943,1
1.940000,0.07003353,0.13706537,-0.90390319,1.49867558,-0.91719574,-0.36956000,-2.72479725,0.219369,0.015377,0.099921,0.220158,0.015023,0.100000,0.019372,-0.004974,0.024289,-0.00021650,0.00084075,-0.00062344,0.99999943,1
1.960000,0.09035294,0.12981249,-0.90748316,1.47811007,-0.91275513,-0.37612122,-2.71173048,0.219254,0.013402,0.100126,0.220040,0.012513,0.100000,0.019842,-0.002507,0.025931,-0.00010882,0.00080469,-0.00069513,0.99999943,1
1.980000,0.11124013,0.12348936,-0.90911210,1.45707953,-0.90884477,-0.38146940,-2.70002413,0.219251,0.011402,0.100329,0.220000,0.010000,0.100000,0.020000,0.000000,0.027321,0.00000057,0.00075592,-0.00075584,0.99999943,1
2.000000,0.13258322,0.11816190,-0.90873581,1.43562794,-0.90563166,-0.38520542,-2.68993711,0.219371,0.009338,0.100506,0.220039,0.007487,0.100000,0.019842,0.002507,0.028437,0.00010993,0.00069522,-0.00080462,0.99999943,1
2.020000,0.15411706,0.11382797,-0.90630084,1.41382313,-0.90338200,-0.38715884,-2.68155146,0.219601,0.007178,0.100640,0.220158,0.004977,0.100000,0.019372,0.004974,0.029263,0.00021755,0.00062355,-0.00084070,0.99999943,1
2.040000,0.17551562,0.11038636,-0.90180981,1.39178300,-0.90217501,-0.38731864,-2.67488337,0.219945,0.004898,0.100709,0.220355,0.002471,0.100000,0.018596,0.007362,0.029785,0.00032172,0.00054205,-0.00086350,0.99999943,1
2.060000,0.19656058,0.10777248,-0.89525259,1.36974669,-0.90202415,-0.38574380,-2.66992283,0.220414,0.002486,0.100710,0.220631,-0.000027,0.100000,0.017526,0.009635,0.029996,0.00042080,0.00045199,-0.00087267,0.99999943,1
2.080000,0.21683104,0.10593571,-0.88680661,1.34804988,-0.90298390,-0.38255671,-2.66664553,0.220969,-0.000040,0.100639,0.220985,-0.002515,0.100000,0.016180,0.011756,0.029890,0.00051325,0.00035481,-0.00086805,0.99999943,1
2.100000,0.23589237,0.10481571,-0.87652433,1.32704508,-0.90498978,-0.37791124,-2.66498184,0.221613,-0.002657,0.100519,0.221417,-0.004991,0.100000,0.014579,0.013691,0.029472,0.00059759,0.00025205,-0.00084972,0.99999943,1
2.120000,0.25357535,0.10436513,-0.86458415,1.30703926,-0.90784192,-0.37192094,-2.66490173,0.222346,-0.005352,0.100362,0.221927,-0.007451,0.100000,0.012748,0.015410,0.028746,0.00067252,0.00014532,-0.00081797,0.99999943,1
