# rollout meta: {"joint_names": ["joint1", "joint2", "joint3", "joint4", "joint5", "joint6", "joint7"], "dt": 0.02, "n": 200, "has_base": true, "source": "imit", "note": ""}
t,q1,q2,q3,q4,q5,q6,q7,ee_x,ee_y,ee_z,tgt_x,tgt_y,tgt_z,bx,by,bz,bqx,bqy,bqz,bqw,drawing
0.420000,0.31341285,0.79892850,-0.59319746,0.55291474,0.65604609,-0.62333441,-0.55585104,0.193915,-0.023813,0.391938,0.300000,0.061641,0.150994,-0.018596,0.007362,0.000000,0.00032172,-0.00086318,0.00054247,0.99999943,1
0.440000,0.30430597,0.82789129,-0.62242258,0.53889990,0.68460971,-0.65224147,-0.58477277,0.186063,-0.018300,0.388612,0.300000,0.060009,0.152905,-0.019372,0.004974,0.000000,0.00021755,-0.00084047,0.00062381,0.99999943,1
0.460000,0.29203707,0.85640109,-0.65165997,0.52018088,0.71266836,-0.68115741,-0.61369449,0.178887,-0.011456,0.384520,0.300000,0.058317,0.154764,-0.019842,0.002507,0.000000,0.00010993,-0.00080453,0.00069530,0.99999943,1
0.480000,0.27836180,0.88260478,-0.68087465,0.49816558,0.73905122,-0.71007895,-0.64261621,0.173055,-0.004113,0.379423,0.300000,0.056569,0.156569,-0.020000,-0.000000,0.000000,0.00000057,-0.00075592,0.00075584,0.99999943,1
0.500000,0.26631269,0.89995611,-0.70999962,0.47539648,0.76109987,-0.73901367,-0.67153782,0.170702,0.002309,0.372837,0.300000,0.054764,0.158318,-0.019842,-0.002507,0.000000,-0.00010881,-0.00069540,0.00080447,0.99999943,1
0.520000,0.25547394,0.89597118,-0.73891169,0.45504460,0.77365792,-0.76796764,-0.70045930,0.175695,0.007530,0.363782,0.300000,0.052905,0.160009,-0.019372,-0.004974,0.000000,-0.00021650,-0.00062392,0.00084043,0.99999943,1
0.540000,0.24160020,0.87356824,-0.76791167,0.44558275,0.77041084,-0.79692167,-0.72937971,0.187221,0.011989,0.352474,0.300000,0.050994,0.161641,-0.018596,-0.007362,0.000000,-0.00032078,-0.00054260,0.00086316,0.99999943,1
0.560000,0.22010663,0.84702975,-0.79713506,0.44499969,0.75308961,-0.82583064,-0.75829428,0.200743,0.017129,0.339579,0.300000,0.049033,0.163212,-0.017526,-0.009635,0.000000,-0.00042001,-0.00045273,0.00087229,0.99999943,1
0.580000,0.19631527,0.81939471,-0.82634598,0.42921448,0.72671807,-0.85460079,-0.78716016,0.214701,0.022224,0.323547,0.300000,0.047023,0.164721,-0.016180,-0.011756,0.000000,-0.00051263,-0.00035570,0.00086768,0.99999943,1
0.600000,0.17220320,0.79090232,-0.85565531,0.40256953,0.69813722,-0.88085252,-0.81587386,0.227910,0.026943,0.305455,0.300000,0.044967,0.166166,-0.014579,-0.013691,0.000000,-0.00059717,-0.00025306,0.00084941,0.99999943,1
